ºº×ÖÍ³¼Æ½á¹û
µÄ	55221
¹ú	17901
Ò»	17649
ÔÚ	13703
ÖÐ	12962
ÈË	12588
ÁË	12438
ºÍ	11946
ÊÇ	11634
ÓÐ	11194
Äê	11072
´ó	10971
²»	9294
Îª	8887
»á	8512
Òµ	7702
ÉÏ	7472
µØ	7405
·¢	7388
³ö	6889
×÷	6842
Òª	6741
¹¤	6614
ÐÐ	6600
Ãñ	6562
Õâ	6527
¾­	6413
¼Ò	6345
ÐÂ	6336
¸ö	6262
ÈÕ	6062
²¿	6046
ÒÔ	5967
À´	5824
µ½	5821
ÊÐ	5613
³É	5546
Éú	5540
¶Ô	5525
½ø	5428
È«	5296
ÎÒ	5276
ÃÇ	5170
Õþ	5021
¶à	5003
Ö÷	4954
Ê±	4886
Ëû	4682
²ú	4662
±¾	4658
Õ¹	4587
³¤	4580
Êµ	4561
Õß	4411
Ñ§	4392
·½	4380
½¨	4357
¿ª	4337
Àí	4295
Í¬	4264
¶¯	4207
ÔÂ	4149
¸ß	4100
¹Ø	3999
ÖØ	3995
Á¦	3982
µç	3959
ÏÖ	3945
ÓÚ	3924
¹«	3921
Éç	3805
ÏÂ	3796
±¨	3777
Çø	3766
¼Ó	3747
·Ö	3709
¼Ã	3706
ÖÆ	3571
×Ô	3570
»¯	3523
¶¨	3474
ÎÄ	3469
Ìå	3438
¹ý	3435
Ç°	3411
ºÏ	3405
µÈ	3388
³¡	3369
¾Í	3360
Ìì	3349
Óë	3329
Ëµ	3280
Ãæ	3259
ºó	3257
¼Ç	3223
»ú	3221
ÊÂ	3205
·¨	3191
Ô±	3185
ÓÃ	3172
ÄÜ	3123
ÃÀ	3108
µÃ	3089
×Ê	3055
»ª	3026
Ò²	2948
Íâ	2947
Ê®	2935
Îñ	2930
Ö®	2919
¶ø	2916
Éè	2910
×Ü	2908
ºÃ	2899
±±	2893
Æ½	2891
Àû	2873
½ð	2851
Å©	2846
¸÷	2830
×Ó	2818
Ôª	2813
Ð¡	2792
´Ó	2764
½«	2763
Æó	2743
Ã÷	2740
Íò	2716
ÎÊ	2702
Ìá	2655
µ±	2652
ÐÄ	2651
Á½	2648
Æä	2646
±í	2631
ÖÖ	2626
Î¯	2597
µ³	2581
Æ·	2573
¿É	2555
Àï	2551
¶È	2535
Ç¿	2501
¸Ä	2478
×Å	2460
¾ü	2452
´ú	2446
