words	frequency	left-entropy	right-entropy	combinality
的 	 55221 	 9.044351 	 8.997068 	 0 	 
国 	 17901 	 5.646488 	 6.933079 	 0 	 
一 	 17649 	 6.761340 	 6.987232 	 0 	 
在 	 13703 	 6.883110 	 8.537300 	 0 	 
中 	 12962 	 7.181596 	 5.614503 	 0 	 
人 	 12587 	 7.452428 	 6.481644 	 0 	 
了 	 12438 	 7.626014 	 7.719947 	 0 	 
和 	 11945 	 8.850786 	 8.705558 	 0 	 
是 	 11634 	 7.081143 	 8.156430 	 0 	 
有 	 11194 	 6.886936 	 7.495786 	 0 	 
年 	 11072 	 4.600709 	 6.616522 	 0 	 
大 	 10970 	 7.362460 	 7.708869 	 0 	 
不 	 9294 	 7.747109 	 7.416927 	 0 	 
为 	 8887 	 6.625319 	 7.535010 	 0 	 
会 	 8512 	 5.879143 	 6.559780 	 0 	 
业 	 7702 	 4.109182 	 7.003249 	 0 	 
上 	 7472 	 7.704999 	 7.098622 	 0 	 
地 	 7405 	 7.889384 	 6.892822 	 0 	 
发 	 7388 	 7.239643 	 4.191650 	 0 	 
出 	 6889 	 7.176393 	 6.212379 	 0 	 
作 	 6842 	 4.972472 	 5.820919 	 0 	 
要 	 6741 	 5.541620 	 7.589452 	 0 	 
工 	 6614 	 7.219497 	 4.417356 	 0 	 
行 	 6600 	 5.582745 	 6.962988 	 0 	 
民 	 6562 	 4.730719 	 6.705485 	 0 	 
这 	 6527 	 4.424953 	 5.251218 	 0 	 
经 	 6413 	 6.717297 	 3.463249 	 0 	 
家 	 6345 	 5.021906 	 7.546195 	 0 	 
新 	 6336 	 6.251483 	 5.865299 	 0 	 
个 	 6262 	 3.924508 	 8.055166 	 0 	 
日 	 6060 	 4.082483 	 5.710219 	 0 	 
部 	 6046 	 6.249962 	 6.119513 	 0 	 
以 	 5967 	 6.324880 	 7.528455 	 0 	 
来 	 5824 	 6.489456 	 5.769683 	 0 	 
到 	 5821 	 6.890629 	 7.496259 	 0 	 
市 	 5613 	 6.876225 	 5.575875 	 0 	 
成 	 5546 	 7.000946 	 5.922321 	 0 	 
生 	 5540 	 6.883505 	 5.683973 	 0 	 
对 	 5525 	 6.775534 	 8.021363 	 0 	 
进 	 5428 	 7.057719 	 5.294995 	 0 	 
全 	 5296 	 5.965908 	 5.091370 	 0 	 
我 	 5276 	 4.257277 	 4.452832 	 0 	 
们 	 5170 	 3.012908 	 7.566879 	 0 	 
政 	 5021 	 6.401011 	 4.166567 	 0 	 
多 	 5003 	 5.759732 	 6.786736 	 0 	 
主 	 4954 	 6.018843 	 4.338276 	 0 	 
时 	 4886 	 6.879995 	 5.676142 	 0 	 
他 	 4682 	 3.704041 	 6.065924 	 0 	 
产 	 4662 	 5.776451 	 5.413802 	 0 	 
本 	 4656 	 4.341532 	 5.966366 	 0 	 
展 	 4587 	 2.056068 	 6.172125 	 0 	 
长 	 4580 	 6.112126 	 6.783939 	 0 	 
实 	 4561 	 6.613148 	 5.140509 	 0 	 
者 	 4411 	 3.972746 	 7.528271 	 0 	 
学 	 4392 	 6.451024 	 6.165679 	 0 	 
方 	 4380 	 6.516107 	 5.932006 	 0 	 
建 	 4357 	 7.132615 	 4.129502 	 0 	 
开 	 4337 	 7.188175 	 5.439279 	 0 	 
理 	 4295 	 4.734624 	 6.571482 	 0 	 
同 	 4264 	 6.068291 	 5.791264 	 0 	 
动 	 4207 	 5.117537 	 6.257830 	 0 	 
月 	 4149 	 2.090023 	 3.231536 	 0 	 
高 	 4100 	 6.237978 	 6.747499 	 0 	 
关 	 3999 	 5.589160 	 5.299057 	 0 	 
重 	 3995 	 6.374983 	 5.040883 	 0 	 
力 	 3982 	 5.927097 	 5.818729 	 0 	 
电 	 3959 	 5.817483 	 5.048603 	 0 	 
现 	 3945 	 5.203630 	 5.700487 	 0 	 
于 	 3924 	 6.111493 	 8.184399 	 0 	 
公 	 3921 	 7.154526 	 4.063883 	 0 	 
社 	 3805 	 5.219582 	 3.524977 	 0 	 
下 	 3796 	 7.605587 	 5.909224 	 0 	 
报 	 3777 	 5.426230 	 5.142059 	 0 	 
区 	 3766 	 4.943816 	 6.762221 	 0 	 
加 	 3747 	 5.647375 	 5.785029 	 0 	 
分 	 3709 	 6.292741 	 6.755682 	 0 	 
制 	 3571 	 6.484636 	 5.515225 	 0 	 
自 	 3570 	 6.993461 	 5.220554 	 0 	 
中国 	 3535 	 5.012668 	 7.002774 	 0 	 
化 	 3523 	 5.189248 	 6.167623 	 0 	 
经济 	 3474 	 6.356052 	 6.394040 	 0 	 
定 	 3474 	 4.622963 	 6.232556 	 0 	 
文 	 3469 	 7.095365 	 4.643463 	 0 	 
体 	 3438 	 6.451614 	 5.910438 	 0 	 
过 	 3435 	 6.235453 	 6.821209 	 0 	 
前 	 3411 	 5.842820 	 6.487392 	 0 	 
合 	 3405 	 5.630216 	 5.432805 	 0 	 
等 	 3388 	 8.627245 	 6.830114 	 0 	 
场 	 3369 	 3.394363 	 6.444210 	 0 	 
就 	 3360 	 6.558980 	 6.539218 	 0 	 
天 	 3349 	 5.407869 	 6.471134 	 0 	 
与 	 3329 	 7.736099 	 8.239347 	 0 	 
发展 	 3318 	 5.908616 	 5.714830 	 0 	 
说 	 3280 	 7.005368 	 2.832322 	 0 	 
面 	 3259 	 5.235861 	 6.275570 	 0 	 
