words	frequency
的	55221
国	17901
一	17649
在	13703
中	12962
人	12587
了	12438
和	11945
是	11634
有	11194
大	10970
不	9294
为	8887
会	8512
上	7472
地	7405
出	6889
作	6842
行	6600
民	6562
这	6527
新	6336
日	6060
部	6046
以	5967
来	5824
到	5821
市	5613
成	5546
生	5540
对	5525
进	5428
全	5296
我	5276
多	5003
主	4954
时	4886
产	4662
本	4656
长	4580
实	4561
学	4392
方	4380
开	4337
理	4295
同	4264
动	4207
月	4149
高	4100
关	3999
重	3995
力	3982
电	3959
现	3945
社	3805
下	3796
报	3777
区	3766
加	3747
分	3709
制	3571
自	3570
中国	3535
化	3523
经济	3474
定	3474
体	3438
过	3435
前	3411
合	3405
等	3388
就	3360
天	3349
与	3329
发展	3318
面	3259
后	3257
记	3223
机	3221
事	3204
法	3191
用	3172
能	3123
美	3108
得	3089
资	3055
华	3025
也	2948
外	2947
十	2935
之	2919
设	2910
总	2908
好	2899
北	2893
平	2891
利	2873
金	2851
各	2830
子	2817
元	2813
小	2791
从	2764
将	2763
明	2740
当	2652
心	2651
两	2648
其	2646
表	2630
企业	2610
工作	2607
委	2597
党	2581
可	2555
里	2551
度	2535
强	2501
着	2460
军	2452
代	2446
起	2441
内	2437
目	2416
通	2394
三	2363
系	2363
活	2361
水	2360
都	2343
国家	2337
特	2280
道	2268
所	2260
向	2218
去	2218
省	2205
还	2184
已	2181
海	2152
人民	2149
使	2147
最	2140
名	2131
统	2121
立	2119
南	2115
技	2088
正	2078
应	2077
社会	2072
交	2051
安	2040
点	1998
性	1979
西	1978
市场	1973
东	1972
任	1965
共	1962
由	1960
治	1929
队	1908
决	1903
意	1900
程	1898
及	1891
期	1862
情	1857
调	1857
取	1854
村	1838
间	1835
量	1829
团	1827
建设	1823
此	1821
局	1812
如	1809
广	1779
书	1745
收	1732
因	1687
路	1679
计	1648
山	1645
二	1634
政府	1626
比	1621
相	1617
全国	1614
公司	1612
放	1612
江	1607
北京	1607
价	1598
办	1597
先	1590
信	1581
亚	1577
物	1568
项	1564
更	1558
克	1557
近	1554
老	1547
节	1547
话	1537
风	1534
无	1532
看	1530
五	1524
拉	1504
困	1494
商	1491
手	1488
论	1481
斯	1460
难	1447
车	1436
深	1433
质	1426
少	1425
领导	1408
原	1401
处	1394
想	1380
台	1378
条	1377
受	1375
件	1350
图	1345
气	1337
观	1336
级	1336
进行	1332
春	1329
数	1325
又	1324
女	1317
县	1312
传	1298
改革	1291
中央	1287
造	1283
剧	1282
世界	1281
四	1280
给	1273
首	1271
协	1271
支	1266
管理	1263
至	1254
乡	1246
样	1234
回	1232
常	1232
片	1232
美国	1231
变	1224
只	1220
地区	1219
选	1218
几	1210
标	1207
争	1206
证	1204
整	1204
生产	1196
贫	1196
接	1190
纪	1183
查	1183
流	1175
那	1171
反	1163
尔	1159
被	1156
周	1155
见	1153
百	1145
做	1141
头	1136
效	1133
势	1129
技术	1121
德	1117
很	1098
马	1097
关系	1089
副	1085
林	1084
住	1079
费	1070
国际	1062
亿	1061
布	1049
灾	1039
走	1038
重要	1035
感	1029
户	1029
房	1026
群众	1024
演	1015
真	1010
部门	1010
身	1009
干部	1007
再	1002
线	994
每	994
文化	985
率	983
光	982
谈	980
研究	973
职工	971
方面	969
乐	958
才	955
快	952
列	952
赛	950
组织	947
没有	946
供	945
提高	944
清	942
非	942
批	941
转	938
色	937
或	936
许	936
自己	933
罗	929
金融	926
责	921
确	920
河	918
州	918
去年	917
产品	916
精神	916
知	913
权	907
会议	904
打	900
准	883
第一	882
同志	878
八	876
增长	871
英	870
兴	869
象	869
连	867
今天	866
直	860
防	856
服务	853
九	852
值	851
加强	850
工程	848
约	848
花	844
送	834
案	828
巴	822
生活	821
新的	818
合作	818
游	816
切	815
民族	809
范	809
米	807
人员	805
武	803
客	800
有关	797
了一	796
致	796
农业	795
功	791
球	790
则	789
阿	783
款	783
速	782
段	779
教育	776
爱	772
越	771
空	770
境	768
科技	767
模	767
告	765
较	760
源	758
石	755
政治	754
主要	754
往	750
同时	750
是一	748
富	748
厂	746
双	746
热	745
儿	744
警	743
历史	740
钱	739
通过	738
包	732
讲	728
访	726
亲	726
银行	725
你	725
满	721
解决	720
评	720
要求	707
可以	705
产业	702
素	702
目前	702
维	699
健	698
代表	697
积极	695
声	693
初	692
实现	691
照	691
政策	687
泽	687
千	679
欧	679
晚	679
远	677
投资	675
艺术	675
排	675
主席	673
镇	671
未	670
农村	670
成为	670
震	669
字	668
友	667
油	667
俄	667
低	666
版	665
国人	664
红	662
经营	662
便	653
文明	653
良	652
贸	652
货	648
美元	647
尼	645
层	644
失	641
集团	636
销	636
农民	636
就是	636
土	634
科学	634
让	634
人的	631
水平	630
年来	630
单位	625
抓	625
律	625
显	623
核	621
届	620
波	619
边	619
复	616
占	615
足	615
情况	615
装	614
荣	613
人们	612
建立	611
验	611
一年	610
基础	606
按	605
提出	601
思想	601
夫	598
斗	598
理论	598
容	595
紧	593
余	592
欢	591
养	591
万元	590
献	588
黄	587
出了	587
岗	587
古	586
站	585
取得	584
迎	584
官	583
铁	582
注	579
围	576
作为	575
白	573
随	571
器	571
兵	571
今年	570
继续	567
汇	566
飞	565
雪	565
太	564
限	563
票	562
香港	561
稳定	559
奖	555
参加	553
尽	553
开始	552
开发	552
福	552
影响	552
破	552
预	551
景	551
温	550
食	549
基本	547
云	545
体育	544
六	543
现代	543
坚持	541
承	540
愿	540
岁	540
税	538
阳	536
临	532
却	531
态	531
努力	531
资金	530
价格	530
降	530
除	530
需要	529
菜	528
特别	528
庆	526
开展	525
配	524
到了	523
宁	523
贫困	522
结构	522
喜	520
书记	519
中的	518
上的	518
有一	518
来的	518
提供	515
机关	514
项目	512
田	510
部分	509
希望	508
网	507
班	507
世纪	507
写	506
党的	505
龙	504
事业	503
曾	502
离	501
的大	500
终	498
两国	497
早	495
伟	495
在这	495
和平	494
总理	494
言	492
一次	492
不能	491
称	489
属	489
以来	489
歌	488
决定	486
电视	486
舞	486
这样	486
共同	484
虎	484
驻	484
火	483
担	483
额	481
的是	480
请	477
总统	476
苦	476
底	475
不断	474
升	474
号	474
的新	473
待	473
统一	472
第二	472
控	471
购	470
药	470
实际	470
料	469
苏	468
像	467
时间	466
七	466
地方	466
病	464
兰	463
藏	463
令	462
眼	461
半	461
已经	460
派	460
支持	460
增加	459
航	458
哈	458
章	458
算	458
全面	456
促进	456
置	456
以及	455
城市	453
吃	452
开放	452
春节	450
形成	449
买	448
胜	448
针	448
实施	447
国内	446
自治	446
江泽民	446
中心	445
规定	445
条件	444
训	444
工业	441
学习	441
印	441
塔	441
发生	439
出现	438
环境	437
调整	437
树	435
互	435
星	433
实行	431
汉	431
采取	430
画	429
收入	429
击	429
留	427
质量	427
新闻	426
传统	426
刚	426
附	426
密	425
仍	422
修	422
不是	422
探	421
试	420
结合	420
安全	419
候	419
纳	418
亿元	418
故	416
牌	415
彩	413
轻	413
信息	412
什么	412
扶贫	410
烈	409
任务	407
听	406
具有	405
审	405
冬	404
编	403
恩	403
以上	402
座	401
重点	401
馆	400
奋	400
湖	398
强调	396
园	396
换	392
广大	391
机构	390
害	390
负责	389
奥	389
著	388
出口	387
可能	387
其他	386
祝	386
和国	385
伊拉克	384
索	384
学生	383
规模	383
进入	382
午	382
先进	381
幅	381
住房	380
作出	379
出版	379
解放	379
典	378
战略	378
不仅	378
刻	378
得到	377
礼	377
不同	376
急	376
个人	373
久	373
电话	372
形式	371
大学	370
体制	370
一定	369
在一	368
吉	368
激	367
保持	366
测	363
例	363
卡	362
二十	362
劳动	361
民主	360
国政	360
桥	359
行政	359
贵	359
室	359
过去	359
损	358
政协	358
材	357
利用	356
能力	356
彻	355
两岸	354
兼	353
外交	352
脑	352
系统	351
是在	351
卖	351
盛	350
判	350
完成	349
目标	349
播	349
发现	348
保护	348
专家	348
纷	348
严重	346
竞争	346
正在	345
成功	345
私	345
署	345
两个	344
既	344
地震	342
孩子	342
泰	342
会上	342
应当	342
革命	340
曲	340
呼	339
责任	339
永	338
搞	338
尚	338
拿	338
各级	338
短	337
血	337
移	336
祖国	336
发挥	336
绝	336
矿	335
夜	335
鲜	335
洋	335
堂	335
主任	334
资源	333
觉	333
韩	333
青年	332
重视	332
草	331
船	331
差	331
各种	330
灯	330
部队	329
店	329
暖	329
予	329
停	328
重大	328
危机	328
黑	327
效益	327
威	326
创造	325
帮助	325
只有	325
录	324
钟	324
行业	323
顾	323
新年	323
语	322
压	321
台湾	321
玉	320
方式	320
资产	320
十分	319
某	319
街	319
受到	319
推动	319
中共	319
各地	318
讨	318
冷	317
落实	317
都是	316
木	315
推进	315
深入	314
库	314
楼	313
看到	313
认识	313
中华	313
宣传	312
赞	311
雨	310
瑞	310
托	309
演出	308
消费	308
扬	308
素质	307
灾区	306
利益	305
第三	305
另	305
套	304
诉	303
找	302
交通	302
归	302
贺	302
发表	301
笔	301
行为	301
了解	301
调查	299
就业	299
长期	298
作品	298
贸易	297
会见	296
所有	296
成果	296
实践	296
遇	296
家庭	295
不可	294
盘	294
之间	293
征	293
腐	293
公安	292
成立	291
假	291
财政	291
旗	291
输	289
男	288
阶段	288
俄罗斯	288
如何	287
川	287
时期	286
虽	286
期间	285
债	285
厅	285
内容	285
学校	284
监督	283
获得	282
领域	282
设施	282
资本	281
母	281
商品	280
左	280
贡献	280
自然	279
旅游	279
原则	279
冰	278
叶	278
人才	277
雷	277
双方	277
序	277
全部	276
召开	276
钢	276
访问	276
有效	276
指导	276
保证	276
日前	276
充分	276
按照	276
补	275
亮	275
杂	275
原因	275
几年	275
犯罪	274
经验	274
大家	274
万人	274
投入	273
比赛	272
目的	272
存在	271
造成	271
创作	271
力量	271
毛	271
欧洲	271
良好	271
产生	270
制定	270
当地	270
形势	270
分别	269
医院	268
直接	268
货币	268
沙	268
廉	268
烟	267
报告	267
变化	267
贯彻	267
角	266
认真	266
心的	266
伤	265
军事	265
守	265
丽	265
篮	265
振	264
还是	264
持续	264
交易	263
扩大	263
轮	262
固	262
免	262
话剧	261
大会	261
鲁	260
夏	260
音乐	259
